Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
2307809,Marco (CE),333543,42425,15613,47748,127064,100694
2307908,Martinópole (CE),80285,3168,4840,3367,23401,45509
2308005,Massapê (CE),295164,15449,17362,19682,103343,139328
2308104,Mauriti (CE),420990,21190,87250,16136,127505,168910
2308203,Meruoca (CE),110636,4064,7457,7648,30494,60973
2308302,Milagres (CE),240866,14227,23034,15848,86827,100929
2308351,Milhã (CE),140550,6598,39663,3121,38015,53153
2308377,Miraíma (CE),91793,2726,8655,2651,21026,56735
2308401,Missão Velha (CE),471630,22158,181482,17993,112075,137921
2308500,Mombaça (CE),342751,20018,35158,11701,122815,153059
2308609,Monsenhor Tabosa (CE),141228,6866,13595,7033,44016,69717
2308708,Morada Nova (CE),1009596,91762,103306,244230,341790,228508
2308807,Moraújo (CE),68691,2707,12001,2204,17131,34647
2308906,Morrinhos (CE),162086,9156,8964,7622,54775,81569
2309003,Mucambo (CE),107449,5000,5356,4358,35216,57519
2309102,Mulungu (CE),106688,3678,22774,3001,30141,47094
2309201,Nova Olinda (CE),145587,9716,9783,8870,54346,62872
2309300,Nova Russas (CE),299164,25466,9995,15736,128750,119217
2309409,Novo Oriente (CE),240510,11359,38367,10545,74064,106175
2309458,Ocara (CE),190844,10257,27312,8185,52404,92687
2309508,Orós (CE),185020,9581,22023,6561,66503,80352
2309607,Pacajus (CE),1146881,105452,34826,324368,423389,258846
2309706,Pacatuba (CE),1024602,119259,16269,257973,360744,270357
2309805,Pacoti (CE),126788,5092,30255,4033,36983,50425
2309904,Pacujá (CE),51039,2427,1901,2255,16430,28025
2310001,Palhano (CE),89685,4803,17015,5007,25365,37494
2310100,Palmácia (CE),93908,2968,18515,2443,19974,50007
2310209,Paracuru (CE),505811,28731,41650,93849,191848,149733
2310258,Paraipaba (CE),440566,35937,67754,72786,132992,131097
2310308,Parambu (CE),240114,13314,27350,7150,81695,110604
2310407,Paramoti (CE),107579,3360,25154,3512,25533,50021
2310506,Pedra Branca (CE),333026,15001,22648,8327,112567,174483
2310605,Penaforte (CE),112813,12658,7013,4925,46140,42076
2310704,Pentecoste (CE),494744,31182,48567,121443,146402,147150
2310803,Pereiro (CE),371530,27711,24169,9510,247666,62474
2310852,Pindoretama (CE),246160,17987,24749,18623,97066,87734
2310902,Piquet Carneiro (CE),135230,6865,17747,3543,42731,64343
2310951,Pires Ferreira (CE),66442,2949,10564,2329,15292,35307
2311009,Poranga (CE),89223,3860,7520,3198,25963,48682
2311108,Porteiras (CE),155560,5829,43894,7201,38925,59712
2311207,Potengi (CE),85165,3851,9395,3795,25335,42789
2311231,Potiretama (CE),64371,2592,13652,2130,16719,29278
2311264,Quiterianópolis (CE),162633,8097,20236,4548,48266,81486
2311306,Quixadá (CE),1005661,74670,84269,52268,476292,318162
2311355,Quixelô (CE),142613,8696,21152,3833,47078,61854
2311405,Quixeramobim (CE),1228231,103789,94566,309322,424572,295982
2311504,Quixeré (CE),401031,41095,74587,85051,111966,88333
2311603,Redenção (CE),342538,19586,80644,15875,116147,110287
2311702,Reriutaba (CE),176308,8978,14059,14169,62308,76794
2311801,Russas (CE),1100878,113441,113055,155245,435680,283458
2311900,Saboeiro (CE),128724,4345,23333,3240,32041,65765
2311959,Salitre (CE),127204,4315,14645,3027,32671,72546
2312007,Santana do Acaraú (CE),230045,9219,30485,7279,65155,117908
2312106,Santana do Cariri (CE),134319,4332,14998,3924,34325,76740
2312205,Santa Quitéria (CE),502581,33237,72756,81844,158003,156741
2312304,São Benedito (CE),543714,33045,118211,25509,199009,167939
2312403,São Gonçalo do Amarante (CE),3759451,673225,37494,1943499,842425,262810
2312502,São João do Jaguaribe (CE),94721,3188,37227,2510,21019,30778
2312601,São Luís do Curu (CE),110185,6064,12161,8080,34511,49369
2312700,Senador Pompeu (CE),315194,22994,32669,52815,112025,94691
